iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
294,0.000257143,1.53777467,1.53777467,1.427224898,65.587394
295,0.000271429,1.534567058,1.534567058,1.432468772,64.418474
296,0.000285714,1.555901599,1.555901599,1.427178597,64.521869
297,0.000285714,1.555901599,1.555901599,1.427178597,64.631622
298,0.0003,1.54584527,1.54584527,1.424323523,65.228601
299,0.000314286,1.558884335,1.558884335,1.418100345,62.439087
300,0.000328571,1.568476868,1.568476868,1.420629716,61.561353
301,0.000342857,1.543712783,1.543712783,1.41833353,61.381247
302,0.000357143,1.540949404,1.540949404,1.40479002,67.030879
303,0.000371429,1.535442495,1.535442495,1.406809092,64.388817
304,0.000385714,1.555984259,1.555984259,1.425910485,60.647095
305,0.0004,1.545135188,1.545135188,1.427893221,59.544681
306,0.000414286,1.542786717,1.542786717,1.419883335,58.973073
307,0.000428571,1.538652885,1.538652885,1.415917361,63.199945
308,0.000428571,1.538652885,1.538652885,1.415917361,63.942717
309,0.000442857,1.53655659,1.53655659,1.41036005,57.682352
310,0.000457143,1.529224014,1.529224014,1.413566899,57.560361
311,0.000471429,1.548227954,1.548227954,1.40260359,63.34993
312,0.000485714,1.545180583,1.545180583,1.417370737,58.55968
313,0.0005,1.566270256,1.566270256,1.4090639,59.644862
314,0.000514286,1.564602792,1.564602792,1.406409872,58.534293
315,0.000528571,1.570446682,1.570446682,1.421379399,57.249331
316,0.000542857,1.588432443,1.588432443,1.414280891,66.212137
317,0.000557143,1.589518762,1.589518762,1.413197553,57.171892
318,0.000571429,1.586693037,1.586693037,1.403715622,57.749393
319,0.000571429,1.586693037,1.586693037,1.403715622,56.839429
320,0.000585714,1.578318226,1.578318226,1.407849944,59.588034
321,0.0006,1.553953242,1.553953242,1.40118556,62.508475
322,0.000614286,1.5406564,1.5406564,1.408521819,57.58566
323,0.000628571,1.549054551,1.549054551,1.408970332,56.594021
