iteration,seed,last_activation,last_perf,min_perf,time
0,2905341756,linear,1.239944088,1.131148434,47.980459
1,2905341756,relu,1.269203365,1.175699198,45.26034
2,2905341756,leaky_relu,1.324347591,1.18812561,45.980109
0,2717245069,linear,1.324531269,1.2089499,42.539223
1,2717245069,relu,1.321635067,1.222278023,40.31694
2,2717245069,leaky_relu,1.321196401,1.205036938,46.06408
0,889301449,linear,1.244303036,1.163825285,43.473922
1,889301449,relu,1.293111181,1.204899204,48.49631
2,889301449,leaky_relu,1.243395901,1.148548305,46.285009
0,992198894,linear,1.233292627,1.097420812,50.181748
1,992198894,relu,1.313733292,1.211304367,45.272328
2,992198894,leaky_relu,1.291831481,1.167092764,51.300384
0,1126695865,linear,1.291083455,1.202399194,42.844143
1,1126695865,relu,1.268707645,1.190740168,47.631571
2,1126695865,leaky_relu,1.270386982,1.178180337,44.099717
0,3181237928,linear,1.3044402,1.139768565,43.581883
1,3181237928,relu,1.311103535,1.198575604,43.454932
2,3181237928,leaky_relu,1.327542591,1.155777884,44.813486
0,3471207243,linear,1.271252036,1.179147756,42.696179
1,3471207243,relu,1.301343894,1.2101017,44.67952
2,3471207243,leaky_relu,1.301209569,1.20748086,51.947174
0,3375045543,linear,1.336181033,1.245345187,43.875788
1,3375045543,relu,1.252902853,1.157830369,50.952498
2,3375045543,leaky_relu,1.290501845,1.147479367,46.679881
0,3664147963,linear,1.292956376,1.214495146,43.813811
1,3664147963,relu,1.286011219,1.170723188,45.42329
2,3664147963,leaky_relu,1.249254501,1.146706069,49.662914
0,2277919694,linear,1.327807879,1.198806667,43.654861
1,2277919694,relu,1.232174063,1.083518386,47.58359
2,2277919694,leaky_relu,1.31457808,1.180407393,43.75882
0,3503341275,linear,1.240349722,1.141525376,43.142017
1,3503341275,relu,1.191911411,1.07918036,45.560246
2,3503341275,leaky_relu,1.202981317,1.073172855,45.190365
0,802994238,linear,1.217046702,1.112816334,48.974119
1,802994238,relu,1.180755305,1.062842536,54.131467
2,802994238,leaky_relu,1.203142583,1.101955676,49.816861
0,1695034920,linear,1.289535522,1.110693848,45.298337
1,1695034920,relu,1.275871587,1.162695682,49.727894
2,1695034920,leaky_relu,1.30213685,1.129826963,46.472955
0,3010098335,linear,1.199228811,1.102052212,47.9095
1,3010098335,relu,1.221604204,1.127440703,45.333308
2,3010098335,leaky_relu,1.191296291,1.0912503,51.039458
0,1710008806,linear,1.266958559,1.130733788,48.561279
1,1710008806,relu,1.236293423,1.109675395,45.391299
2,1710008806,leaky_relu,1.292031038,1.181745577,40.400916
0,2805071267,linear,1.260082912,1.134968936,50.304707
1,2805071267,relu,1.275929034,1.145575571,49.77188
2,2805071267,leaky_relu,1.217336392,1.079151654,50.314705
0,34504671,linear,1.265193927,1.19788574,51.65327
1,34504671,relu,1.33829459,1.237680125,44.18269
2,34504671,leaky_relu,1.212879622,1.128527904,48.871169
0,1000957686,linear,1.320661092,1.194272208,45.293332
1,1000957686,relu,1.251656449,1.167896855,52.57697
2,1000957686,leaky_relu,1.316156149,1.167840278,44.146701
0,3695527783,linear,1.231847715,1.149338615,48.216384
1,3695527783,relu,1.266490161,1.130304015,44.780497
2,3695527783,leaky_relu,1.279406369,1.14073205,52.766911
0,825172169,linear,1.253978515,1.147673619,42.263322
1,825172169,relu,1.253978479,1.147673619,42.20933
2,825172169,leaky_relu,1.253978515,1.147673619,42.271307
0,1910322569,linear,1.290180373,1.171255791,48.04444
1,1910322569,relu,1.278754759,1.166719115,48.633237
2,1910322569,leaky_relu,1.354162717,1.218599737,44.564556
0,538102834,linear,1.293503618,1.16542002,49.856852
1,538102834,relu,1.303643858,1.087750936,44.117711
2,538102834,leaky_relu,1.343105984,1.253862393,41.282629
0,1723222120,linear,1.25402652,1.105350935,48.763207
1,1723222120,relu,1.269407678,1.146474361,47.736519
2,1723222120,leaky_relu,1.278910077,1.151830864,45.884137
